name,diet,period,start_mya,extinction_mya,lived_in,ISO3,type,length_m,taxonomy,named_by,species,link
heterodontosaurus,herbivorous,Early Jurassic,205,,South Africa,ZAF,euornithopod,1.2,Dinosauria Ornithischia Genasauria Cerapoda Heterodontosauridae,Crompton and Charig (1962),tucki,https://www.nhm.ac.uk/discover/dino-directory/heterodontosaurus.html
telmatosaurus,herbivorous,Late Cretaceous,84,65,Spain,ESP,euornithopod,5.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Nopcsa (1900),transsylvanicus,https://www.nhm.ac.uk/discover/dino-directory/telmatosaurus.html
rhabdodon,herbivorous,Late Cretaceous,76,70,Spain,ESP,euornithopod,4.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,Matherton (1869),priscus,https://www.nhm.ac.uk/discover/dino-directory/rhabdodon.html
struthiosaurus,herbivorous,Late Cretaceous,83,75,Spain,ESP,armoured dinosaur,2.5,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Bunzel (1871),austriacus,https://www.nhm.ac.uk/discover/dino-directory/struthiosaurus.html
pelicanimimus,carnivorous,Early Cretaceous,127,121,Spain,ESP,small theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Pérez-Moreno Sanz Buscalioni Moratalla Ortega and Rasskin-Gutman (1994),polyodon,https://www.nhm.ac.uk/discover/dino-directory/pelicanimimus.html
aragosaurus,herbivorous,Early Cretaceous,132,121,Spain,ESP,sauropod,18.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Sanz Buscalioni Casanovas and Sanafé (1987),ischiadicus,https://www.nhm.ac.uk/discover/dino-directory/aragosaurus.html
plateosaurus,herbivorous,Late Triassic,210,,Switzerland,CHE,sauropod,7.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Meyer (1837),engelhardti,https://www.nhm.ac.uk/discover/dino-directory/plateosaurus.html
dicraeosaurus,herbivorous,Late Jurassic,150,135,Tanzania,TZA,sauropod,20.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,Janensch (1914),hansemanni,https://www.nhm.ac.uk/discover/dino-directory/dicraeosaurus.html
giraffatitan,herbivorous,Late Jurassic,154,142,Tanzania,TZA,sauropod,23.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,Janensch (1914),brancai,https://www.nhm.ac.uk/discover/dino-directory/giraffatitan.html
kentrosaurus,herbivorous,Late Jurassic,155,150,Tanzania,TZA,armoured dinosaur,5.0,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Hennig (1915),aethiopicus,https://www.nhm.ac.uk/discover/dino-directory/kentrosaurus.html
elaphrosaurus,carnivorous,Late Jurassic,154,151,Tanzania,TZA,large theropod,6.2,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,Janensch (1920),bambergi,https://www.nhm.ac.uk/discover/dino-directory/elaphrosaurus.html
